danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,class
0.65,0.78,2,-6.713,1,0.0351,0.002,1.18E-06,0.294,0.809,117.023,225400,rock
0.717,0.929,10,-4.956,1,0.053,0.233,0,0.359,0.586,94.995,216320,latin
0.424,0.632,9,-7.243,1,0.0922,0.021,0.0117,0.0545,0.356,97.694,254533,rock
0.759,0.925,1,-5.383,0,0.0888,0.00155,0.00101,0.295,0.653,123.986,144762,pop
0.732,0.762,10,-7.234,0,0.0369,0.135,0.00859,0.14,0.538,107.014,165419,edm
0.701,0.697,10,-12.643,0,0.0912,8.88E-04,0.485,0.301,0.617,108.554,256427,r&b
0.327,0.938,0,-3.237,1,0.0645,0.0708,3.79E-06,0.148,0.326,162.937,289560,rock
0.48,0.582,6,-5.169,1,0.0254,0.124,7.63E-04,0.0876,0.219,79.986,260467,pop
0.676,0.771,8,-3.675,1,0.0483,0.0237,7.00E-06,0.102,0.569,99.048,207133,edm
0.97,0.463,10,-7.259,1,0.366,0.0957,0,0.151,0.46,108.003,142417,rap
0.631,0.466,1,-7.916,0,0.0463,0.482,0,0.213,0.321,135.817,181291,pop
0.63,0.739,2,-4.266,1,0.0335,0.146,3.22E-05,0.116,0.761,128.028,165938,pop
0.391,0.692,1,-6.543,0,0.0462,0.0946,1.58E-05,0.191,0.56,180.008,246587,r&b
0.705,0.949,10,-3.575,1,0.0454,0.0128,0.6,0.27,0.274,128.011,232500,edm
0.964,0.73,6,-6.778,1,0.206,0.153,0.809,0.101,0.259,125.028,188170,edm
0.669,0.785,7,-4.305,1,0.0369,0.328,0,0.177,0.567,105.037,188130,edm
0.658,0.636,11,-7.317,1,0.0669,0.215,0,0.0974,0.47,103.055,163799,rap
0.805,0.968,10,-3.909,1,0.227,0.00707,9.10E-04,0.368,0.211,127.984,133125,edm
0.494,0.951,9,-4.237,1,0.132,5.69E-04,0,0.327,0.441,160.025,202496,pop
0.817,0.714,4,-7.501,0,0.141,0.184,1.32E-04,0.042,0.714,94.001,204600,latin
0.73,0.896,9,-7.863,0,0.0692,7.27E-04,0.806,0.13,0.331,128.012,251260,edm
0.751,0.665,8,-3.083,1,0.124,0.265,0,0.0515,0.698,95.239,219357,latin
0.603,0.661,0,-5.857,0,0.088,0.221,3.03E-04,0.0997,0.919,92.123,181046,latin
0.454,0.229,2,-12.592,1,0.0297,0.167,0.102,0.202,0.134,73.552,290707,pop
0.71,0.336,2,-11.001,1,0.0462,0.542,0.0204,0.114,0.34,80.002,274995,r&b
0.79,0.59,1,-9.206,0,0.0793,0.0994,0.00203,0.065,0.714,119.951,206067,rap
0.507,0.709,9,-6.751,0,0.0484,0.133,0,0.447,0.36,135.813,271673,r&b
0.579,0.827,2,-5.013,1,0.0505,0.0618,0.021,0.0926,0.271,159.97,137125,rap
0.727,0.73,2,-5.829,1,0.109,0.357,0,0.273,0.841,107.982,208760,r&b
0.691,0.812,0,-7.772,1,0.0558,0.0433,1.16E-06,0.299,0.685,127.568,220627,rock
0.819,0.428,5,-9.883,0,0.317,0.128,0.00151,0.211,0.454,87.9,307440,r&b
0.746,0.547,5,-9.236,0,0.0903,0.224,0.0345,0.201,0.528,91.839,286920,r&b
0.7,0.886,11,-4.95,0,0.324,0.0084,0,0.0904,0.53,167.863,253400,rap
0.978,0.691,6,-5.787,1,0.218,0.00148,7.99E-05,0.28,0.482,122.026,387493,latin
0.422,0.932,6,-4.174,0,0.0535,8.95E-05,0.0454,0.209,0.359,142.072,232107,rock
0.784,0.896,11,-8.296,0,0.0922,0.0387,0.917,0.296,0.325,125.015,440454,edm
0.536,0.901,9,-7.211,1,0.0374,0.00145,0.0186,0.06,0.666,87.559,276880,r&b
0.88,0.986,10,-1.588,0,0.276,0.233,0,0.0553,0.655,99.965,252640,latin
0.714,0.436,1,-6.471,1,0.0342,0.462,0.0117,0.107,0.372,93.025,229693,r&b
0.659,0.802,2,-4.79,1,0.148,0.208,0,0.123,0.863,177.936,228200,latin
0.717,0.685,4,-10.224,0,0.105,0.427,1.01E-04,0.204,0.479,120.086,225747,latin
0.748,0.406,1,-8.142,1,0.035,0.685,3.61E-06,0.118,0.811,100.034,153094,pop
0.707,0.564,9,-10.141,1,0.067,0.0462,0.441,0.137,0.238,80.042,192000,rap
0.534,0.887,0,-3.777,1,0.0345,0.0768,9.93E-05,0.325,0.72,122.494,249293,rock
0.786,0.65,4,-6.839,1,0.109,0.363,8.17E-05,0.122,0.712,92.975,129040,latin
0.753,0.566,11,-4.763,0,0.435,0.169,0,0.276,0.591,113.884,189695,pop
0.785,0.553,8,-8.208,1,0.0482,0.282,0,0.11,0.181,119.936,176000,rap
0.713,0.632,10,-4.323,1,0.431,0.32,0,0.0802,0.593,119.797,261333,rap
0.516,0.549,6,-13.741,1,0.0373,0.501,0.00572,0.184,0.907,176.941,288733,rock
0.735,0.828,1,-5.27,1,0.359,0.239,0,0.852,0.775,111.096,205381,r&b
0.559,0.345,4,-13.496,1,0.0459,0.0576,1.05E-04,0.141,0.458,84.581,264307,rock
0.557,0.416,11,-10.698,1,0.0447,0.749,0.801,0.114,0.246,86.02,189767,edm
0.908,0.418,1,-7.306,1,0.361,0.0494,0,0.209,0.39,92.166,237733,rap
0.57,0.836,10,-4.414,0,0.0706,0.00334,4.69E-04,0.0909,0.712,127.917,157500,edm
0.419,0.694,0,-4.651,1,0.0332,0.0143,5.85E-04,0.243,0.362,186.135,177951,rock
0.569,0.963,2,-3.801,1,0.0431,0.0117,0.124,0.462,0.0902,127.9,170625,edm
0.79,0.961,11,-3.408,0,0.263,0.167,0.0154,0.133,0.389,125.035,336000,edm
0.65,0.58,9,-7.779,0,0.278,0.41,0,0.118,0.412,171.985,227456,rap
0.733,0.253,0,-9.394,1,0.0555,0.388,0.744,0.111,0.152,142.051,126761,rap
0.613,0.942,0,-3.268,1,0.0547,0.0299,0,0.246,0.802,144.044,197680,rock
0.48,0.861,6,-6.836,1,0.0477,0.00329,0.0559,0.0907,0.377,135.055,349653,rock
0.908,0.621,1,-6.638,0,0.102,2.82E-04,5.39E-05,0.0958,0.421,150.011,177000,pop
0.761,0.748,5,-6.542,0,0.0724,0.155,0,0.111,0.695,150.122,174393,rap
0.411,0.98,3,-5.563,0,0.247,0.00113,0.602,0.394,0.0929,140.03,210000,edm
0.54,0.938,7,-7.251,1,0.0885,0.00234,0.00248,0.0586,0.72,101.91,173933,rock
0.796,0.742,6,-3.424,0,0.174,0.171,0,0.0516,0.804,175.913,172112,rap
0.68,0.942,9,-4.21,1,0.0628,0.175,0.0013,0.117,0.65,123.99,229813,latin
0.803,0.236,7,-12.599,1,0.0994,0.343,0.598,0.0682,0.567,80.974,314200,r&b
0.574,0.936,5,-3.846,1,0.103,1.18E-04,0,0.116,0.499,123.958,205000,rock
0.491,0.956,5,-4.666,0,0.0686,0.00261,0,0.152,0.426,130.016,173480,pop
0.861,0.599,1,-4.205,1,0.246,0.183,0,0.0921,0.869,102.119,186893,latin
0.833,0.805,8,-5.507,0,0.0851,0.0523,8.00E-05,0.294,0.5,114.996,179040,pop
0.532,0.943,7,-4.549,0,0.0512,0.0056,5.87E-04,0.317,0.371,140.042,294800,rock
0.56,0.648,4,-14.522,1,0.174,0.154,0.00263,0.0919,0.766,136.462,506720,rock
0.781,0.77,0,-4.057,1,0.123,0.229,0.00214,0.164,0.845,170.05,231933,latin
0.457,0.73,7,-5.96,1,0.18,0.154,1.25E-06,0.106,0.438,82.52,210587,latin
0.693,0.779,7,-4.725,1,0.0377,0.174,8.08E-05,0.0933,0.842,123.994,175797,r&b
0.731,0.909,7,-4.516,1,0.202,0.122,0.241,0.0918,0.5,132.955,180466,edm
0.787,0.673,11,-4.577,0,0.158,0.256,3.57E-06,0.0904,0.786,110.962,237893,r&b
0.588,0.67,0,-6.439,1,0.0473,0.0104,3.33E-06,0.338,0.505,118.159,238173,pop
0.791,0.935,3,-4.118,0,0.074,0.0701,0.00369,0.0511,0.802,121.999,159010,edm
0.675,0.683,11,-7.586,0,0.031,0.448,0.734,0.0912,0.216,100.026,268800,edm
0.917,0.536,11,-9.362,0,0.289,0.142,0,0.122,0.657,129.011,258354,rap
0.41,0.611,4,-8.271,0,0.0467,0.0228,0,0.116,0.0899,185.727,184448,r&b
0.888,0.815,11,-4.909,0,0.0404,0.23,4.24E-04,0.127,0.961,127.273,238733,latin
0.62,0.79,7,-7.94,0,0.149,0.00683,3.92E-04,0.362,0.367,129.925,228963,edm
0.337,0.893,11,-2.908,0,0.376,0.00565,7.19E-06,0.282,0.291,99.718,192000,edm
0.769,0.732,5,-7.587,0,0.0531,0.131,0.219,0.207,0.423,125.065,182400,edm
0.718,0.794,11,-2.877,0,0.0703,0.0806,0,0.0679,0.751,114.285,205821,pop
0.404,0.723,6,-5.26,1,0.0571,0.0661,1.91E-06,0.233,0.225,160.048,326983,rock
0.553,0.851,3,-4.731,1,0.0415,0.00342,0.045,0.244,0.723,147.989,207880,pop
0.658,0.334,7,-13.731,1,0.129,0.408,1.25E-05,0.67,0.641,80.684,191141,latin
0.605,0.664,8,-7.162,1,0.0316,0.00548,3.00E-06,0.204,0.164,103.997,176417,pop
0.789,0.684,1,-10.471,1,0.348,7.57E-04,0,0.111,0.649,92.796,198387,rap
0.57,0.735,0,-8.041,0,0.187,0.0221,0,0.346,0.735,146.068,184999,rap
0.865,0.841,7,-5.381,1,0.225,0.022,0,0.0714,0.674,91.982,292333,rap
0.523,0.673,7,-6.226,0,0.0861,0.0914,0,0.163,0.413,149.497,298373,r&b
0.288,0.866,0,-4.618,1,0.0488,0.107,0,0.808,0.512,180.635,275760,rock
0.584,0.776,11,-4.565,0,0.0925,0.046,0,0.0638,0.367,167.956,194301,edm
0.733,0.555,0,-11.67,0,0.0401,0.0389,0.0254,0.609,0.839,119.999,394045,latin
0.709,0.47,0,-8.718,1,0.272,0.128,5.48E-06,0.416,0.543,170.014,218294,latin
0.394,0.644,5,-10.996,1,0.0367,0.244,0.198,0.328,0.182,117.152,301560,rock
0.713,0.666,7,-7.636,1,0.0327,0.107,0.124,0.106,0.111,110.004,202640,latin
0.532,0.455,2,-8.366,1,0.156,0.452,0,0.237,0.204,148.182,160187,r&b
0.883,0.563,1,-11.518,1,0.253,0.0518,0.01,0.0961,0.743,86.907,270293,rap
0.864,0.869,7,-2.963,1,0.139,0.146,0,0.063,0.853,99.988,219933,latin
0.751,0.739,0,-6.402,0,0.0708,0.0761,0.886,0.107,0.691,125.016,232271,edm
0.532,0.633,11,-5.106,0,0.0682,0.00378,0,0.0804,0.448,164.13,236907,rock
0.706,0.89,1,-4.444,0,0.0688,0.0588,0.00286,0.306,0.684,128.011,248133,pop
0.802,0.481,4,-5.132,0,0.043,0.0856,0,0.152,0.468,90.973,171947,r&b
0.494,0.576,0,-7.77,1,0.0313,0.115,3.19E-04,0.0687,0.149,94.04,214127,rock
0.681,0.788,1,-4.323,1,0.0785,0.0482,0,0.0753,0.839,170.019,220117,latin
0.774,0.81,1,-7.775,1,0.0649,0.0677,7.01E-04,0.0269,0.526,107.709,257400,r&b
0.781,0.629,5,-6.152,0,0.0647,0.229,5.36E-04,0.0881,0.693,111.975,207307,r&b
0.735,0.874,2,-5.28,1,0.035,0.229,0,0.69,0.715,126.053,198640,pop
0.791,0.68,2,-5.604,1,0.11,0.0346,0,0.0962,0.275,111.938,163929,latin
0.677,0.75,9,-5.824,1,0.033,0.14,2.49E-04,0.0363,0.967,114.958,242627,pop
0.782,0.322,8,-12.371,1,0.0443,0.673,1.40E-04,0.0806,0.359,119.941,196000,pop
0.496,0.468,9,-9.015,0,0.294,0.634,0,0.107,0.365,94.034,197886,rap
0.761,0.652,7,-8.324,1,0.0354,0.00769,1.11E-04,0.119,0.574,116.977,274840,latin
0.767,0.738,2,-6.907,0,0.0374,0.0192,0.561,0.106,0.339,120.001,215967,pop
0.507,0.56,4,-12.446,1,0.0365,0.149,2.35E-06,0.283,0.697,130.061,300702,rock
0.794,0.661,2,-4.188,1,0.263,0.0488,0,0.214,0.359,99.977,145293,rap
0.677,0.848,11,-5.224,0,0.276,0.0394,0,0.142,0.679,144.423,292227,rap
0.634,0.645,5,-9.2,1,0.0376,0.292,0,0.246,0.677,93.05,231173,r&b
0.661,0.91,7,-2.664,1,0.295,0.169,0,0.0939,0.709,88.875,277320,r&b
0.565,0.734,5,-4.82,1,0.0416,0.127,0,0.108,0.474,142.006,202549,r&b
0.521,0.882,4,-5.268,0,0.0455,0.00922,0.634,0.349,0.112,140.028,181875,rap
0.307,0.635,7,-8.957,1,0.0339,0.0155,0.00486,0.366,0.305,166.978,306427,rock
0.575,0.814,4,-6.406,1,0.0393,0.012,1.61E-05,0.269,0.407,126.026,196190,edm
0.637,0.94,2,-5.494,1,0.0502,0.126,0.865,0.187,0.0896,107.056,255427,edm
0.616,0.695,9,-7.894,0,0.0397,0.121,0.0228,0.0311,0.189,128.008,272124,edm
0.379,0.552,10,-6.195,1,0.0286,0.544,0,0.246,0.316,133.99,209493,rock
0.546,0.638,9,-10.795,0,0.103,0.0174,0.0567,0.0768,0.882,133.513,158145,latin
0.956,0.722,0,-12.223,0,0.0494,0.0564,2.26E-06,0.105,0.809,115.438,248907,rap
0.654,0.822,11,-4.556,0,0.0396,0.0125,1.74E-06,0.134,0.478,127.94,210938,edm
0.854,0.598,1,-7.265,0,0.413,0.0432,0,0.0946,0.705,164.065,201951,rap
0.613,0.289,8,-16.529,1,0.0305,0.743,1.57E-06,0.0617,0.553,144.188,150707,rock
0.685,0.404,5,-7.784,0,0.121,0.445,0,0.116,0.473,131.846,293640,r&b
0.683,0.691,8,-5.535,1,0.0432,0.243,0,0.14,0.732,179.91,219507,latin
0.568,0.901,6,-6.122,0,0.397,0.00222,0.0229,0.332,0.248,127.98,164180,edm
0.312,0.661,0,-8.508,0,0.092,0.252,1.35E-04,0.102,0.443,82.39,197575,r&b
0.653,0.829,10,-4.783,1,0.0377,7.39E-04,1.50E-06,0.225,0.545,124.989,263890,edm
0.699,0.827,0,-3.469,1,0.0372,0.222,0,0.35,0.819,109.971,152573,pop
0.643,0.646,5,-7.155,1,0.0655,0.138,1.34E-05,0.132,0.531,88.866,192135,edm
0.554,0.954,9,-3.797,1,0.0455,0.00147,3.15E-06,0.133,0.68,116.154,167600,pop
0.783,0.568,8,-9.18,1,0.247,0.0243,0,0.0764,0.636,150.11,146054,rap
0.603,0.873,3,-7.024,1,0.0308,0.0559,0.0314,0.0576,0.75,121.274,187613,pop
0.71,0.741,2,-10.726,1,0.0746,0.141,0,0.0825,0.922,139.948,235227,rock
0.443,0.955,8,-8.066,1,0.0741,0.0222,0.361,0.297,0.333,123.423,273600,rock
0.462,0.527,11,-6.751,0,0.0671,0.068,0,0.173,0.304,159.799,232500,edm
0.552,0.931,2,-5.166,1,0.053,0.00836,0,0.0551,0.666,158.036,182653,pop
0.55,0.899,5,-3.284,0,0.0458,0.0113,9.65E-05,0.137,0.408,125.85,170079,edm
0.754,0.458,8,-6.852,1,0.144,0.105,0,0.249,0.495,96.011,203650,latin
0.16,0.615,0,-8.897,1,0.0358,0.689,0.861,0.153,0.302,77.393,336728,rock
0.762,0.748,0,-4.15,0,0.033,0.0266,0,0.348,0.851,110.009,199027,pop
0.935,0.805,7,-4.782,1,0.225,0.0143,1.53E-06,0.298,0.624,105.641,234360,rap
0.785,0.478,2,-8.735,1,0.0419,0.0254,0,0.0901,0.39,134.002,161200,r&b
0.534,0.489,8,-8.725,0,0.241,0.302,0,0.112,0.416,147.943,236679,r&b
0.897,0.612,11,-10.489,1,0.211,0.0297,0.186,0.0894,0.767,102.305,208267,latin
0.816,0.754,11,-2.75,0,0.111,0.0361,0,0.217,0.533,99.966,158400,latin
0.632,0.656,11,-4.348,0,0.163,0.0452,1.87E-04,0.144,0.382,175.946,178541,edm
0.682,0.55,1,-5.91,1,0.105,0.175,0,0.116,0.271,90.727,211180,latin
0.184,0.871,8,-3.245,0,0.0661,0.00837,0.167,0.15,0.21,127.972,221286,edm
0.61,0.509,6,-11.204,0,0.0901,0.0775,1.15E-04,0.142,0.296,160.239,183000,latin
0.647,0.827,8,-4.163,1,0.0519,0.0158,2.08E-04,0.429,0.573,102.017,217981,edm
0.513,0.379,1,-13.587,0,0.171,0.259,3.05E-05,0.0711,0.0619,85.645,180972,r&b
0.813,0.966,0,-3.924,1,0.0417,0.173,0,0.0729,0.681,130.086,213461,pop
0.544,0.23,5,-18.285,0,0.0427,0.511,0.39,0.291,0.539,107.09,372307,r&b
0.819,0.611,8,-12.228,1,0.147,0.0201,2.47E-05,0.0671,0.961,174.049,206333,latin
0.654,0.936,10,-4.115,0,0.134,0.605,0,0.0562,0.702,99.969,157370,rock
0.751,0.674,0,-7.367,1,0.072,0.0184,0,0.11,0.577,107.889,189444,latin
0.627,0.778,5,-4.317,1,0.0409,0.0214,0,0.126,0.366,127.977,225742,edm
0.593,0.451,1,-9.166,1,0.0367,0.836,0,0.0813,0.589,78.009,196067,r&b
0.69,0.707,11,-4.789,1,0.279,0.125,2.77E-06,0.237,0.677,103.909,127076,latin
0.535,0.615,11,-5.445,1,0.0296,0.276,0,0.0966,0.377,115.048,206609,edm
0.262,0.793,11,-8.668,1,0.0646,0.00968,0.08,0.115,0.247,152.447,183973,rock
0.691,0.766,5,-7.869,0,0.0394,0.0385,0.0144,0.103,0.257,99.986,222821,pop
0.847,0.703,6,-4.434,1,0.0746,0.355,3.95E-05,0.0938,0.777,112.045,184141,pop
0.719,0.743,6,-6.077,0,0.169,0.0101,1.82E-05,0.0371,0.542,102.016,212493,edm
0.817,0.273,9,-7.341,1,0.122,0.414,0.958,0.0994,0.106,90.034,117361,rap
0.884,0.579,2,-6.847,1,0.299,0.064,2.38E-06,0.182,0.313,144.973,176630,r&b
0.918,0.837,1,-6.792,1,0.255,0.234,0,0.227,0.855,120.017,236000,rap
0.805,0.758,8,-7.418,1,0.0352,0.308,6.61E-04,0.12,0.974,102.127,272667,latin
0.687,0.449,2,-10.061,1,0.154,0.109,0,0.282,0.229,142.048,199437,rap
