title,author,price,pages,avg_reviews,n_reviews,dimensions,weight,language
Algorithmic Finance: A Companion To Data Science,[Christopher Hian-ann Ting],116.85,408,,0,6 x 1.15 x 9 inches,1.58 pounds,English
Naked Statistics: Stripping the Dread from the Data,,11.69,304,4.6,2271,5.5 x 0.8 x 8.2 inches,7.1 ounces,English
Bayesian Ideas and Data Analysis: An Introduction for Scientists and Statisticians (Chapman & Hall/CRC Texts in Statistical Science),,64.1,516,4,14,6.9 x 1.1 x 10 inches,2.35 pounds,English
Julia Data Science,"[Jose Storopoli,Rik Huijzer et al.]",31.99,170,4.5,9,7 x 0.4 x 10 inches,13.9 ounces,English
Listening to People: A Practical Guide to Interviewing Participant Observation Data Analysis and Writing It All Up (Chicago Guides to Writing Editing and Publishing),,19,333,4.5,33,6 x 0.9 x 9 inches,1.01 pounds,English
Doing Data Science: Straight Talk from the Frontline,"[""Cathy ONeil"",Rachel Schutt]",26.3,408,4.3,172,6 x 0.78 x 9 inches,1.2 pounds,English
Microsoft Power BI Quick Start Guide: Bring your data to life through data modeling visualization digital storytelling and more 2nd Edition,"[Devin Knight,Mitchell Pearson et al.]",28.49,294,4.3,142,7.5 x 0.67 x 9.25 inches,1.12 pounds,English
R in Action Third Edition: Data analysis and graphics with R and Tidyverse,[Robert I. Kabacoff],56.99,656,4.6,8,7.38 x 1.5 x 9.25 inches,2.15 pounds,English
Data Science Ethics: Concepts Techniques and Cautionary Tales,[David Martens],37.2,272,5,2,9.4 x 0.6 x 6.2 inches,15.5 ounces,English
Data Science and Machine Learning: Mathematical and Statistical Methods (Chapman & Hall/CRC Machine Learning & Pattern Recognition),,77.43,510,4.8,37,8.9 x 1.2 x 11 inches,3.73 pounds,English
Data Mesh in Action,"[Jacek Majchrzak,Sven Balnojan et al.]",69.99,300,,0,7.38 x 0.75 x 9.25 inches,12.6 ounces,English
The Machine Learning Solutions Architect Handbook: Create machine learning platforms to run solutions in an enterprise setting,[David Ping],43.97,442,4.7,39,7.5 x 1 x 9.25 inches,1.66 pounds,English
Practical Big Data Analytics: Hands-on techniques to implement enterprise analytics and machine learning using Hadoop Spark NoSQL and R,[Nataraj Dasgupta],44.99,412,3.8,7,7.5 x 0.93 x 9.25 inches,1.55 pounds,English
Simplify Big Data Analytics with Amazon EMR: A beginners guide to learning and implementing Amazon EMR for building data analytics solutions,[Sakti Mishra],46.99,430,5,9,7.5 x 0.97 x 9.25 inches,1.62 pounds,English
Bootstrap:Data Science Workbook,"[Emmanuel Schanzer,Kathi Fisler et al.]",4.73,148,,0,8.5 x 0.34 x 10.98 inches,9.6 ounces,English
Amazon Redshift Cookbook: Recipes for building modern data warehousing solutions,"[Shruti Worlikar,Thiyagarajan Arumugam et al.]",51.99,384,4.5,23,7.5 x 0.87 x 9.25 inches,1.45 pounds,English
SQL for Data Analytics: Harness the power of SQL to extract insights from data 3rd Edition,"[Jun Shan,Matt Goldwasser et al.]",44.99,540,5,6,7.5 x 1.22 x 9.25 inches,2.02 pounds,English
Communicating with Data: Making Your Case With Data,[Carl Allchin],40.99,340,5,4,7 x 0.5 x 9.25 inches,1.2 pounds,English
Data Analytics: A Small Data Approach (Chapman & Hall/CRC Data Science Series),,89.95,257,5,2,8.5 x 0.75 x 11 inches,1.48 pounds,English
Data Structures the Fun Way: An Amusing Adventure with Coffee-Filled Examples,[Jeremy Kubica],29.99,304,,0,7 x 0.7 x 9.2 inches,13 ounces,English
Data Analysis with R - Second Edition: A comprehensive guide to manipulating analyzing and visualizing data in R,[Tony Fischetti],38.82,570,4.4,20,7.5 x 1.29 x 9.25 inches,2.13 pounds,English
Data Engineering with AWS: Learn how to design and build cloud-based data transformation pipelines using AWS,[Gareth Eagar],39.99,482,4.4,48,7.5 x 1.09 x 9.25 inches,1.81 pounds,English
Data Science: Advanced Guide to Learn the Realms of Data Science Effectively,[Benjamin Smith],19.99,212,,0,6 x 0.48 x 9 inches,10.2 ounces,English
Data Science for Supply Chain Forecasting,[Nicolas Vandeput],49.39,280,4.6,63,6.69 x 0.65 x 9.61 inches,1.16 pounds,English
Heard In Data Science Interviews: Over 650 Most Commonly Asked Interview Questions & Answers,[Kal Mishra],37.99,240,3.2,52,6 x 0.55 x 9 inches,11.5 ounces,English
DATA ANALYTICS: A Comprehensive Beginnerâ€™s Guide To Learn About The Realms Of Data Analytics From A-Z,[Mr Benjamin Smith],19.99,153,4.2,37,6 x 0.35 x 9 inches,7.5 ounces,English
