title,author,price,pages,avg_reviews,n_reviews,dimensions,weight,language
Ethics of Data and Analytics: Concepts and Cases,[Kirsten Martin],69.95,474,,0,7 x 0.99 x 10 inches,2.01 pounds,English
Introduction to Computation and Programming Using Python: With Application to Understanding Data (The MIT Press),[John V. Guttag],42.75,472,4.6,561,7 x 0.81 x 9 inches,1.68 pounds,English
SQL: 3 books 1 - The Ultimate Beginner Intermediate & Expert Guides To Master SQL Programming Quickly with Practical Exercises,[Mark Reed],24.29,346,4.9,187,7 x 0.78 x 10 inches,1.66 pounds,English
Machine Learning Bookcamp: Build a portfolio of real-life projects,[Alexey Grigorev],35.99,472,5,7,7.38 x 0.6 x 9.25 inches,1.85 pounds,English
The Data Model Resource Book Vol. 2: A Library of Data Models for Specific Industries,"[Len Silverston,John A. Zachman]",61.82,576,4,36,7.3 x 1.3 x 8.9 inches,2.4 pounds,English
Essential PySpark for Scalable Data Analytics: A beginners guide to harnessing the power and ease of PySpark 3,[Sreeram Nudurupati],46.99,322,4.5,16,7.5 x 0.73 x 9.25 inches,1.22 pounds,English
Cloud Scale Analytics with Azure Data Services: Build modern data warehouses on Microsoft Azure,[Patrik Borosch],54.99,520,4.8,7,7.5 x 1.18 x 9.25 inches,1.95 pounds,English
Can We Trust AI? (Johns Hopkins Wavelengths),"[Rama Chellappa,Eric Niiler]",16.95,224,,0,5 x 0.64 x 7 inches,1.11 pounds,English
Data Engineering with Python: Work with massive datasets to design data models and automate data pipelines using Python,[Paul Crickard],37.79,356,4.2,95,7.5 x 0.81 x 9.25 inches,1.35 pounds,English
Mastering Tableau 2021: Implement advanced business intelligence techniques and analytics with Tableau 3rd Edition,"[Marleen Meier,David Baldwin et al.]",46.99,792,4.4,83,7.5 x 1.79 x 9.25 inches,2.42 pounds,English
Geographical Data Science and Spatial Data Analysis: An Introduction in R (Spatial Analytics and GIS),,51,360,4.5,6,6.69 x 0.75 x 9.61 inches,1.26 pounds,English
Malware Data Science: Attack Detection and Attribution,"[Joshua Saxe,Hillary Sanders]",37.03,272,4.6,87,7 x 0.69 x 9.31 inches,1.37 pounds,English
Learning Geospatial Analysis with Python: Understand GIS fundamentals and perform remote sensing data analysis using Python 3.7 3rd Edition,[Joel Lawhead],49.99,456,4.4,26,7.5 x 1.03 x 9.25 inches,1.71 pounds,English
The Big Book of Dashboards: Visualizing Your Data Using Real-World Business Scenarios,"[Steve Wexler,Jeffrey Shaffer et al.]",24.49,448,4.6,662,8.4 x 1.2 x 8.3 inches,2.77 pounds,English
Machine Learning with R: Expert techniques for predictive modeling 3rd Edition,[Brett Lantz],37.99,458,4.6,232,7.5 x 1.04 x 9.25 inches,1.72 pounds,English
Hands-on Programmatic In-house Digital Advertising: Learn Data Design AI Implementation Bidding Strategies and Strategic Thinking (English Edition),[Raghavendra Agarwala],29.95,208,3.5,2,7.5 x 0.47 x 9.25 inches,14.1 ounces,English
Ontology-Based Information Retrieval for Healthcare Systems,[Vishal Jain],197.02,384,,0,6 x 1.06 x 9 inches,1 pounds,English
Data Governance: How to Design Deploy and Sustain an Effective Data Governance Program (The Morgan Kaufmann Series on Business Intelligence),,39.17,264,4.3,87,7.5 x 0.61 x 9.25 inches,1.26 pounds,English
Data Science in Context: Foundations Challenges Opportunities,"[Alfred Z. Spector,Peter Norvig et al.]",39.99,335,,0,9.61 x 6.69 x 0.76 inches,1.43 pounds,English
Python Machine Learning: Machine Learning and Deep Learning with Python scikit-learn and TensorFlow 2 3rd Edition,"[Sebastian Raschka,Vahid Mirjalili]",49.39,770,4.5,387,7.5 x 1.74 x 9.25 inches,2.86 pounds,English
Machine Learning in Biotechnology and Life Sciences: Build machine learning models using Python and deploy them on the cloud,[Saleh Alkhalifa],49.99,408,4.1,20,7.5 x 0.92 x 9.25 inches,1.54 pounds,English
Data Science and Big Data Analytics: Discovering Analyzing Visualizing and Presenting Data,[EMC Education Services],41.76,432,4.4,186,7.3 x 1 x 9.4 inches,2.41 pounds,English
Fundamentals of Data Science Part I: Inference and Experiment,[Jared M Maruskin],22.63,314,5,1,6.14 x 0.66 x 9.21 inches,15.5 ounces,English
Graph Neural Networks: Foundations Frontiers and Applications,"[Lingfei Wu,Peng Cui et al.]",85.38,725,4.6,6,6.25 x 1.75 x 9.5 inches,2.76 pounds,English
Data-Driven Evolutionary Optimization: Integrating Evolutionary Computation Machine Learning and Data Science (Studies in Computational Intelligence 975),,169.99,418,5,1,6.14 x 0.94 x 9.21 inches,1.75 pounds,English
Getting Started with Elastic Stack 8.0: Run powerful and scalable data platforms to search observe and secure your organization,"[Asjad Athick,Shay Banon]",49.99,474,4.7,9,7.5 x 1.07 x 9.25 inches,1.78 pounds,English
Functional Aesthetics for Data Visualization,"[Vidya Setlur,Bridget Cogley]",40,336,,0,7.4 x 0.63 x 9.22 inches,1.5 pounds,English
R Programming for Data Science,[Roger Peng],25,194,4.2,20,8.5 x 0.44 x 11 inches,15.8 ounces,English
Building Data Science Solutions with Anaconda: A comprehensive starter guide to building robust and complete models,"[Dan Meador,Kevin Goldsmith]",44.99,330,5,13,7.5 x 0.75 x 9.25 inches,1.25 pounds,English
Data Lakehouse in Action: Architecting a modern and scalable data analytics platform,[Pradeep Menon],39.99,206,4.3,7,7.5 x 0.47 x 9.25 inches,12.8 ounces,English
Fundamentals of Data Science Part III: Machine Learning,[Jared M Maruskin],29.95,316,,0,6.14 x 0.66 x 9.21 inches,15.5 ounces,English
Machine Learning and Big Data Analytics Paradigms: Analysis Applications and Challenges (Studies in Big Data 77),,13.32,659,,0,6.14 x 1.44 x 9.21 inches,2.53 pounds,English
Data Analysis in Qualitative Research: Theorizing with Abductive Analysis,"[Stefan Timmermans,Iddo Tavory]",20,208,4.4,3,6 x 0.7 x 9 inches,9.6 ounces,English
Mastering TensorFlow 2.x: Implement Powerful Neural Nets across Structured Unstructured datasets and Time Series Data (English Edition),[Rajdeep Dua],29.95,418,5,1,7.5 x 0.95 x 9.25 inches,1.43 pounds,English
The Tableau Workshop: A practical guide to the art of data visualization with Tableau,"[Sumit Gupta,Sylvester Pinto et al.]",46.99,822,4.8,29,7.5 x 1.86 x 9.25 inches,3.05 pounds,English
HBR Guide to Data Analytics Basics for Managers (HBR Guide Series),,14.19,256,4.5,371,5 x 0.75 x 9 inches,10.4 ounces,English
The Hundred-Page Machine Learning Book,[Andriy Burkov],31.99,160,4.6,816,7.5 x 0.38 x 9.25 inches,13.8 ounces,English
Oracle Database Administration Interview Questions Youll Most Likely Be Asked: Interview Questions Youll Most Likely Be Asked (Job Interview Questions Series),[Vibrant Publishers],23.99,236,4.2,32,5.5 x 0.54 x 8.5 inches,10.6 ounces,English
Hypothesis Testing: An Intuitive Guide for Making Data Driven Decisions,[Jim Frost],23.74,381,4.6,101,6 x 0.86 x 9 inches,1.12 pounds,English
Game Data Science,"[Magy Seif El-Nasr,Truong-Huy D. Nguyen et al.]",73.09,416,5,6,9.1 x 1.1 x 6 inches,1.79 pounds,English
The Data Model Resource Book Vol. 3: Universal Patterns for Data Modeling,"[Len Silverston,Paul Agnew]",51.31,648,4.4,37,7.4 x 1.4 x 9.3 inches,2.48 pounds,English
Supervised Machine Learning for Text Analysis in R (Chapman & Hall/CRC Data Science Series),,46.02,402,4.5,11,6.14 x 0.91 x 9.21 inches,1.23 pounds,English
Combining DataOps MLOps and DevOps: Outperform Analytics and Software Development with Expert Practices on Process Optimization and Automation (English Edition),"[Dr. Kalpesh Parikh,Amit Johri]",29.95,,3,2,,,
Categorical Data Analysis for the Behavioral and Social Sciences,"[Razia Azen,Cindy M. Walker]",87.94,314,,0,7.01 x 0.74 x 10 inches,1.32 pounds,English
Big Data and Artificial Intelligence: Complete Guide to Data Science AI Big Data and Machine Learning.,[Hans Weber],24.95,160,4.1,10,6 x 0.55 x 9 inches,10.6 ounces,English
Hands-On Healthcare Data: Taming the Complexity of Real-World Data,[Andrew Nguyen],75.99,242,,0,7 x 0.51 x 9.19 inches,13.9 ounces,English
Python Data Cleaning Cookbook: Modern techniques and Python tools to detect and remove dirty data and extract key insights,[Michael Walker],37.13,436,4.8,64,7.5 x 0.99 x 9.25 inches,1.64 pounds,English
DATA SCIENCE: Simple and Effective Tips and Tricks to Learn Data Science,[Benjamin Smith],15.39,169,3.9,6,6 x 0.39 x 9 inches,8.3 ounces,English
Natural Language Processing with Transformers: Building Language Applications with Hugging Face,"[Lewis Tunstall,Leandro von Werra et al.]",43.09,406,4.6,105,7 x 0.84 x 9.19 inches,1.54 pounds,English
Data Mining for Business Analytics: Concepts Techniques and Applications in Python,"[Galit Shmueli,Peter C. Bruce et al.]",108.99,608,4.5,58,7.2 x 1.2 x 10.1 inches,2.42 pounds,English
Quantitative Social Science Data with R: An Introduction,[Brian J Fogarty],51,328,4.9,16,7.3 x 0.7 x 9.6 inches,1.6 pounds,English
Mathematics for Machine Learning,,46.54,398,4.7,580,7 x 0.92 x 10 inches,1.76 pounds,English
Machine Learning for Time-Series with Python: Forecast predict and detect anomalies with state-of-the-art machine learning methods,[Ben Auffarth],49.39,370,4,27,7.5 x 0.84 x 9.25 inches,1.4 pounds,English
Statistics for Health Data Science: An Organic Approach (Springer Texts in Statistics),,76.54,244,4.6,12,6.14 x 0.63 x 9.21 inches,1.18 pounds,English
Python for Data Analysis: Data Wrangling with Pandas NumPy and IPython,[William McKinney],53.99,547,4.6,1631,7 x 1.11 x 9.19 inches,2.08 pounds,English
Python Data Analysis: Perform data collection data processing wrangling visualization and model building using Python 3rd Edition,"[Avinash Navlani,Armando Fandango et al.]",34.99,478,4.7,45,7.5 x 1.08 x 9.25 inches,1.79 pounds,English
R Cookbook: Proven Recipes for Data Analysis Statistics and Graphics,"[JD Long,Paul Teetor]",52.39,600,4.5,104,7 x 1.21 x 9.19 inches,2.08 pounds,English
Microsoft Excel Data Analysis and Business Modeling (Office 2021 and Microsoft 365) (Business Skills),[Wayne Winston],40.99,1168,4.6,51,7.4 x 2.3 x 9.1 inches,4.12 pounds,English
Data Analysis for Social Science: A Friendly and Practical Introduction,"[Elena Llaudet,Kosuke Imai]",39.95,256,,0,,1.11 pounds,English
Guerrilla Data Analysis Using Microsoft Excel: Overcoming Crap Data and Excel Skirmishes,"[Oz du Soleil,Bill Jelen]",34.95,274,5,3,8.25 x 0.6 x 10.75 inches,1.4 pounds,English
Qualitative Data Analysis: A Methods Sourcebook,"[Matthew B. Miles,A. Michael Huberman et al.]",85.5,408,4.7,197,8.5 x 0.92 x 11 inches,2.15 pounds,English
Excel Data Analysis For Dummies (For Dummies (Computer/Tech)),[Paul McFedries],24.49,368,4,8,7.3 x 1 x 9.1 inches,1.3 pounds,English
Data Analysis Using SQL and Excel,[Gordon S. Linoff],38.54,800,4.4,92,7.4 x 1.7 x 9.2 inches,2.81 pounds,English
Python for ArcGIS Pro: Automate cartography and data analysis using ArcPy ArcGIS API for Python Notebooks and pandas,"[Silas Toms,Bill Parker et al.]",,586,4.7,50,7.5 x 1.32 x 9.25 inches,2.19 pounds,English
Python for Excel: A Modern Environment for Automation and Data Analysis,[Felix Zumstein],32.99,335,4.5,178,7 x 0.7 x 9.19 inches,1.19 pounds,English
Storytelling with Data: Lets Practice!,[Cole Nussbaumer Knaflic],24.49,448,4.7,555,7.9 x 0.9 x 9.8 inches,2.27 pounds,English
Time Series Analysis with Python Cookbook: Practical recipes for exploratory data analysis data preparation forecasting and model evaluation,[Tarek A. Atwan],47.49,630,4.9,10,7.5 x 1.42 x 9.25 inches,2.35 pounds,English
Data Driven Fire Administration: An Introduction to Research Methods Statistical Analysis and Analytic Management for the Fire Service,"[H Scott Walker,Karen L. Sears]",59.99,467,,0,8 x 1.1 x 10 inches,2.73 pounds,English
Regression Analysis: An Intuitive Guide for Using and Interpreting Linear Models,[Jim Frost],23.74,355,4.6,127,6 x 0.8 x 9 inches,1.05 pounds,English
MASTERING EXCEL DATA & STATISTICAL ANALYSIS: All-In-One Practical Approach to Creating and Analyzing Data Charts And Pivot Tables for Better Business ... Tricks on Data Analysis & Business Modelling,[CARTY BINN],23.37,708,,0,7.44 x 1.6 x 9.69 inches,3.38 pounds,English
"Problems for ""Data Analysis for Social Scientists: A Foundational Crash Course""",[Sara Fisher Ellison],10,127,3.5,3,8.27 x 0.29 x 11.69 inches,14.4 ounces,English
Thinking Clearly with Data: A Guide to Quantitative Reasoning and Analysis,"[Ethan Bueno de Mesquita,Anthony Fowler]",28.45,400,4.3,34,7 x 1 x 9.75 inches,1.55 pounds,English
Topological Data Analysis with Applications,"[Gunnar Carlsson,Mikael Vejdemo-Johansson]",42.58,230,5,4,6.75 x 0.75 x 9.75 inches,1.28 pounds,English
Storytelling with Data: A Data Visualization Guide for Business Professionals,[Cole Nussbaumer Knaflic],28.49,288,4.6,3313,7.4 x 0.9 x 9.2 inches,1.46 pounds,English
R in Action: Data Analysis and Graphics with R,[Dr. Rob Kabacoff],51.96,608,4.6,247,7.38 x 1.3 x 9.25 inches,1.98 pounds,English
Excel 2022: The Most Comprehensive Guide to Learn All Formulas and Functions in Just One Week with Step--Step Explanations Practical Examples & Picture Demonstrations.,[Kevin Cooper],19.62,168,4.9,89,8.5 x 0.38 x 11 inches,15.8 ounces,English
Data Analysis: For Continuous School Improvement,[Victoria L. Bernhardt],39.96,426,4.6,242,8.46 x 0.96 x 10.98 inches,2.54 pounds,English
Lab Manual for Statistical Analysis,"[Dawn M. McBride,J. Cooper Cutting]",30,128,4.8,14,8.5 x 0.29 x 11 inches,11.3 ounces,English
Longitudinal Analysis: Modeling Within-Person Fluctuation and Change (Multivariate Applications Series),,76.98,626,4.6,14,7 x 1.48 x 10 inches,2.5 pounds,English
Business Intelligence Guidebook: From Data Integration to Analytics,[Rick Sherman],54.95,550,4.4,92,7.5 x 1.24 x 9.25 inches,2.12 pounds,English
Data Flow Diagrams - Simply Put!: Process Modeling Techniques for Requirements Elicitation and Workflow Analysis (Advanced Business Analysis Topics),,11.97,118,4.2,33,6 x 0.27 x 9 inches,5.9 ounces,English
Julia for Data Analysis,[Bogumil Kaminski],59.99,246,,0,7.38 x 0.81 x 9.25 inches,13.6 ounces,English
Qualitative Data Analysis: Practical Strategies,[Pat Bazeley],45,584,4.5,9,7.32 x 1.32 x 9.13 inches,2.29 pounds,English
Econometric Analysis of Cross Section and Panel Data second edition (The MIT Press),[Jeffrey M. Wooldridge],115,1096,4.5,115,8.25 x 1.72 x 9.31 inches,4.1 pounds,English
Computational Topology for Biomedical Image and Data Analysis (Focus Series in Medical Physics and Biomedical Engineering),,18.36,116,,0,5.5 x 0.3 x 8.5 inches,5.9 ounces,English
R for Data Analysis in easy steps - R Programming essentials,,13.99,192,4.3,129,7.2 x 0.5 x 8.8 inches,15.2 ounces,English
Regression Analysis of Count Data (Econometric Society Monographs Series Number 30),"[A. Colin Cameron,Pravin K. Trivedi]",,436,4.5,6,5.98 x 1.13 x 9.02 inches,1.79 pounds,English
Secondary Data in Mixed Methods Research (Mixed Methods Research Series),,45,264,4.4,4,6 x 0.75 x 9 inches,15.2 ounces,English
Data Analysis: A Bayesian Tutorial,"[Devinderjit Sivia,John Skilling]",47.97,246,4.6,67,9.14 x 7.56 x 0.57 inches,14.4 ounces,English
Computational Topology for Data Analysis,"[Tamal Krishna Dey,Yusu Wang]",58.31,452,,0,6 x 1 x 9 inches,1.72 pounds,English
Cluster Analysis 5th Edition,[Everitt],51.69,352,4.2,22,6 x 0.97 x 9 inches,1.36 pounds,English
Intelligent Reliability Analysis Using MATLAB and AI: Perform Failure Analysis and Reliability Engineering using MATLAB and Artificial Intelligence (English Edition),"[Dr. Cherry Bhargava,Dr. Pardeep Kumar Sharma]",19.95,196,,0,6 x 0.45 x 9 inches,9.5 ounces,English
Data Analytics: Advanced Guide to Learn the Realms of Data Analytics Effectively,[Benjamin Smith],19.99,205,,0,6 x 0.47 x 9 inches,9.9 ounces,English
Foundations of Crime Analysis: Data Analyses and Mapping,"[Jeffery T. Walker,Grant R. Drawve]",66.95,278,4.1,11,6.85 x 0.66 x 9.69 inches,1.19 pounds,English
Qualitative Data Analysis with NVivo,"[Kristi Jackson,Pat Bazeley]",47,376,4.6,110,6.69 x 0.78 x 9.61 inches,1.32 pounds,English
Data Engineering with Alteryx: Helping data engineers apply DataOps practices with Alteryx,[Paul Houghton],44.99,366,4.8,8,7.5 x 0.83 x 9.25 inches,1.38 pounds,English
Pandas 1.x Cookbook: Practical recipes for scientific computing time series analysis and exploratory data analysis using Python 2nd Edition,"[Matt Harrison,Theodore Petrou]",39.99,626,4.3,79,7.5 x 1.41 x 9.25 inches,2.34 pounds,English
SPSS Survival Manual: A Step Step Guide to Data Analysis Using IBM SPSS,[Pallant],38.25,378,4.7,424,7.87 x 0.86 x 9.96 inches,1.78 pounds,English
Advanced Algorithms and Data Structures,[Marcello La Rocca],45.99,768,4.2,21,7.38 x 1.5 x 9.25 inches,3.05 pounds,English
Recovering Black Storytelling in Qualitative Research (Futures of Data Analysis in Qualitative Research),,34.03,192,4.5,26,6.14 x 0.53 x 9.21 inches,11.8 ounces,English
Adventures in Social Research: Data Analysis Using IBM SPSS Statistics,"[Earl Robert Babbie,William E. Wagner et al.]",85,512,4.4,116,8.5 x 1.16 x 11 inches,2.12 pounds,English
Data Analysis: A Model Comparison Approach to Regression ANOVA and Beyond,"[Charles M. Judd,Gary H. McClelland et al.]",73.43,366,4.4,29,7 x 0.86 x 10 inches,1.47 pounds,English
Data Analysis with SPSS: A First Course in Applied Statistics,"[Stephen Sweet,Karen Grace-Martin]",105.99,288,4.2,60,0.8 x 8.4 x 10.8 inches,1.5 pounds,English
Qualitative and Mixed Methods Data Analysis Using Dedoose: A Practical Approach for Research Across the Social Sciences,"[Michelle Suzanne Salmona,Eli Lieber et al.]",45,280,4.3,18,7.38 x 0.64 x 9.13 inches,1.04 pounds,English
Doing Bayesian Data Analysis: A Tutorial with R JAGS and Stan,[John Kruschke],68.99,776,4.6,176,7.8 x 1.7 x 9.3 inches,3.84 pounds,English
Learning R: A Step--Step Function Guide to Data Analysis,[Richard Cotton],40.99,396,4.4,152,7 x 0.82 x 9.19 inches,1.43 pounds,English
Analysis of Panel Data (Econometric Society Monographs),[Cheng Hsiao],49.99,500,,0,6.69 x 1.09 x 9.61 inches,1.87 pounds,English
Advanced Statistics in Research: Reading Understanding and Writing Up Data Analysis Results,[Larry Hatcher],59.95,644,4.7,96,7 x 1.46 x 10 inches,2.43 pounds,English
Intro to Python for Computer Science and Data Science: Learning to Program with AI Big Data and The Cloud,"[Paul Deitel,Harvey Deitel]",86.69,880,4.7,279,7 x 1.45 x 9.1 inches,2.83 pounds,English
Social Statistics: Managing Data Conducting Analyses Presenting Results (Sociology Re-Wired),[Thomas J. Linneman],105.63,644,5,3,7.75 x 1.25 x 9.5 inches,2.76 pounds,English
An Introduction to Analysis of Financial Data with R,[Tsay],53.71,414,4.2,26,6.14 x 1.13 x 9.21 inches,1.74 pounds,English
Undergraduate Lectures on Measurements and Data Analysis (2nd Printing),[Dr. Paul Rumbach],30,212,,0,7.44 x 0.5 x 9.69 inches,14.9 ounces,English
Data Structures and Algorithm Analysis in C++ Third Edition (Dover Books on Computer Science),,28.8,624,4.4,39,6.9 x 1.3 x 10 inches,2.35 pounds,English
Experimental Design and Practical Data Analysis in POSITRON EMISSION TOMOGRAPHY,"[Prof Federico E Turkheimer,Mattia Veronese et al.]",39.9,114,4.5,4,7.38 x 0.27 x 9.84 inches,9.6 ounces,English
Think Bayes: Bayesian Statistics in Python (Oreilly),[Allen B. Downey],23.98,338,4.5,43,7 x 0.75 x 9 inches,1.19 pounds,English
Applying Quantitative Bias Analysis to Epidemiologic Data (Statistics for Biology and Health),,53.03,483,5,1,6.14 x 1.06 x 9.21 inches,1.87 pounds,English
PYTHON FOR DATA ANALYSIS: A PRACTICAL GUIDE YOU CANâ€™T MISS TO MASTER DATA USING PYTHON. KEY TOOLS FOR DATA SCIENCE INTRODUCING YOU INTO DATA MANIPULATION DATA VISUALIZATION MACHINE LEARNING.,[ERICK THOMPSON],15.99,117,4.6,7,6 x 0.27 x 9 inches,5.9 ounces,English
Data Literacy Fundamentals: Understanding the Power & Value of Data (The Data Literacy Series),,34.95,172,4.4,51,6 x 0.41 x 9 inches,10.2 ounces,English
Data Analysis: An Introduction (Quantitative Applications in the Social Sciences),,28.01,88,4.3,15,5.5 x 0.2 x 8.5 inches,3.88 ounces,English
Hands-On Graph Analytics with Neo4j: Perform graph processing and visualization techniques using connected data across your enterprise,[Estelle Scifo],44.99,510,4.2,23,7.5 x 1.15 x 9.25 inches,1.91 pounds,English
Python for Data Science For Dummies,"[John Paul Mueller,Luca Massaron]",19.89,496,4.4,178,7.4 x 1.2 x 9.2 inches,1.46 pounds,English
Problem Solving and Data Analysis: Sat Math Practice Test,[Educational Testing Group],14.95,238,5,2,8.5 x 0.6 x 11 inches,1.53 pounds,English
Financial Theory with Python: A Gentle Introduction,[Yves Hilpisch],32.99,204,4.3,18,6.75 x 0.5 x 8.75 inches,12 ounces,English
Think Stats: Exploratory Data Analysis,[Allen B. Downey],25.49,226,4.2,134,7 x 0.51 x 9.19 inches,13.8 ounces,English
Learn T-SQL Querying: A guide to developing efficient and elegant T-SQL code,"[Pedro Lopes,Pam Lahoud]",39.99,484,4.7,41,7.5 x 1.09 x 9.25 inches,1.82 pounds,English
Analysis of Categorical Data with R (Chapman & Hall/CRC Texts in Statistical Science),,92.7,,4.6,18,7 x 1.43 x 10 inches,2.57 pounds,English
Qualitative Data Analysis: An Introduction,[Carol Grbich],42.73,344,4.5,23,6.6 x 0.8 x 9.4 inches,1.3 pounds,English
Exploratory Data Analysis with R,[Roger Peng],20,208,4.3,7,8.5 x 0.47 x 11 inches,1.06 pounds,English
Statistics and Data Analysis for Nursing Research,[Denise Polit],113.99,456,4.3,239,8 x 0.9 x 9.95 inches,1.5 pounds,English
An Introduction to Data Analysis: Quantitative Qualitative and Mixed Methods,[Tiffany Bergin],46,296,4.6,44,6.69 x 0.67 x 9.53 inches,1.15 pounds,English
Analytics Stories: Using Data to Make Good Things Happen,[Wayne L. Winston],19.89,528,4.8,34,7.38 x 1.19 x 9.25 inches,1.88 pounds,English
Fuzzy Transforms for Image Processing and Data Analysis: Core Concepts Processes and Applications,"[Ferdinando Di Martino,Salvatore Sessa]",169.99,227,,0,6.14 x 0.56 x 9.21 inches,1.13 pounds,English
Data Analysis with Mplus (Methodology in the Social Sciences),,52,305,4.8,32,6 x 0.75 x 9.25 inches,1 pounds,English
Unstructured Data Analysis: Entity Resolution and Regular Expressions in SAS,[K. Matthew Windham],34.95,166,4.5,2,7.5 x 0.38 x 9.25 inches,10.4 ounces,English
Spatial Data Analysis: Models Methods and Techniques (SpringerBriefs in Regional Science),,74.99,88,5,1,6.1 x 0.21 x 9.25 inches,1 pounds,English
The Good the Bad and the Data: Shane the Lone Ethnographerâ€™s Basic Guide to Qualitative Data Analysis,[Sally Campbell Galman],44.95,103,4.7,24,8.5 x 0.24 x 10.98 inches,11.2 ounces,English
Codeless Time Series Analysis with KNIME: A practical guide to implementing forecasting models for time series analysis applications,"[Corey Weisinger,Maarit Widmann et al.]",44.99,392,4.7,5,7.5 x 0.89 x 9.25 inches,1.48 pounds,English
An Introduction to Statistics and Data Analysis Using StataÂ®: From Research Design to Final Report,"[Lisa Daniels,Nicholas W. Minot]",74.61,392,4.6,30,7.38 x 0.89 x 9.13 inches,1.57 pounds,English
Tableau Prep Cookbook: Use Tableau Prep to clean combine and transform your data for analysis,[Hendrik Kleine],39.99,288,4.7,14,7.5 x 0.65 x 9.25 inches,1.1 pounds,English
A Step Step Guide PLS-SEM Data Analysis Using SmartPLS 4 (Partial least squares structural equation modeling),[Yan Piaw Chua],40,329,,0,6 x 0.75 x 9 inches,1.25 pounds,English
Network Security Through Data Analysis: From Data to Action,[Michael Collins],46.63,428,4.5,17,7.01 x 0.87 x 9.17 inches,1.64 pounds,English
A Primer in Biological Data Analysis and Visualization Using R,[Gregg Hartvigsen],37.25,216,4.3,8,6.93 x 0.79 x 9.84 inches,15.2 ounces,English
Behavioral Data Analysis with R and Python: Customer-Driven Data for Real Business Results,[Florent Buisson],37.74,360,4.4,13,7 x 0.75 x 9.19 inches,1.26 pounds,English
Mathematical Foundations for Data Analysis (Springer Series in the Data Sciences),,69.99,304,,0,7.8 x 0.8 x 9.4 inches,1.51 pounds,English
Statistical Rethinking: A Bayesian Course with Examples in R and STAN (Chapman & Hall/CRC Texts in Statistical Science),,75.07,594,4.8,285,7.4 x 0.9 x 10.1 inches,3.12 pounds,English
An Introduction to Categorical Data Analysis 3rd Edition (Wiley Series in Probability and Statistics),[Agresti],99.99,394,4.5,45,7.2 x 1.1 x 10.1 inches,1.55 pounds,English
Student Solutions Manual for Ott/Longneckers An Introduction to Statistical Methods and Data Analysis 7th,"[R. Lyman Ott,Micheal T. Longnecker]",84.95,256,3.5,5,8.4 x 0.6 x 10.7 inches,15.2 ounces,English
Microsoft Excel Data Analysis and Business Modeling (Business Skills),[Wayne Winston],49.99,864,4.5,423,7.4 x 1.75 x 9 inches,3.17 pounds,English
Text Analytics with Python: A Practitioners Guide to Natural Language Processing,[Dipanjan Sarkar],23.49,698,4.6,57,7.01 x 1.58 x 10 inches,2.89 pounds,English
Essentials of Qualitative Meta-Analysis (Essentials of Qualitative Methods),,19.99,100,,0,,1.11 pounds,English
Data Analysis Using Regression and Multilevel/Hierarchical Models,,64.5,648,4.4,150,6.97 x 1.38 x 9.96 inches,2.4 pounds,English
Introduction to Data Analytics for Accounting (International edition) Textbook only,[Ryan A. Teeter Vernon Richardson Katie L. Terrell],50,,5,1,7.99 x 0.83 x 9.96 inches,2.12 pounds,English
Statistical Analysis with Missing Data (Wiley Series in Probability and Statistics),"[Roderick J. A. Little,Donald B. Rubin]",86.25,462,4,12,6 x 1.23 x 9 inches,1.98 pounds,English
Adverse Impact Analysis: Understanding Data Statistics and Risk,"[Scott B. Morris,Eric M. Dunleavy]",68.95,380,5,3,6 x 0.91 x 9 inches,1.2 pounds,English
Hierarchical Modeling and Analysis for Spatial Data (Chapman & Hall/CRC Monographs on Statistics and Applied Probability),,88.5,584,4.1,8,7.2 x 1 x 10.1 inches,3.05 pounds,English
Disrupting Data Governance: A Call to Action,[Laura B. Madsen],29.95,180,4.4,37,6 x 0.41 x 9 inches,9.2 ounces,English
Python for Everybody: Exploring Data in Python 3,"[Dr. Charles Russell Severance,Sue Blumenberg et al.]",9.99,247,4.6,2467,7 x 0.56 x 10 inches,15.2 ounces,English
ggplot2: Elegant Graphics for Data Analysis (Use R),,41.78,276,4.4,147,6.1 x 0.65 x 9.25 inches,9.3 pounds,English
Survival Analysis: Techniques for Censored and Truncated Data (Statistics for Biology and Health),,119.99,554,4.2,22,8.27 x 1.26 x 10.98 inches,2.99 pounds,English
Time Series (Chapman & Hall/CRC Texts in Statistical Science),"[Robert Shumway,David Stoffer]",54.68,272,4.1,16,6 x 0.83 x 9 inches,15.2 ounces,English
SPSS For Beginners in 45 Minutes: A 2021 Quick Reference Guide to Research Methods Data Analysis and Interpretation of Statistical Data,[Bill Wesley],10.99,132,3.5,3,5.5 x 0.3 x 8.5 inches,8 ounces,English
Crime Analysis with Crime Mapping,[Rachel Boba Santos],87.99,504,4.6,3,7 x 1.14 x 10 inches,1.81 pounds,English
Applied Longitudinal Analysis,"[Garrett M. Fitzmaurice,Nan M. Laird et al.]",122.76,752,4.3,38,6 x 1.3 x 9.2 inches,2.54 pounds,English
Epidemiology: Study Design and Data Analysis Third Edition (Chapman & Hall/CRC Texts in Statistical Science),,99.41,898,4.4,43,7 x 1.75 x 10 inches,3.75 pounds,English
Analysis of Economic Data,[Gary Koop],52.59,272,4.1,15,6.4 x 0.7 x 9.4 inches,1.07 pounds,English
